NA,"TP","TN","FP","FN","Precision","Recall","F-Score"
"Trainning metrics","764","4495","48","104","0.940886699507389","0.880184331797235","0.909523809523809"
"Fold","71","450","4","15","0.946666666666667","0.825581395348837","0.881987577639752"
"Fold","68","440","15","19","0.819277108433735","0.781609195402299","0.8"
"Fold","65","443","11","22","0.855263157894737","0.747126436781609","0.797546012269939"
"Fold","74","448","6","13","0.925","0.850574712643678","0.88622754491018"
"Fold","71","452","3","16","0.959459459459459","0.816091954022989","0.881987577639752"
"Fold","62","444","10","25","0.861111111111111","0.71264367816092","0.779874213836478"
"Fold","67","447","7","20","0.905405405405405","0.770114942528736","0.832298136645963"
"Fold","78","445","9","9","0.896551724137931","0.896551724137931","0.896551724137931"
"Fold","75","448","7","11","0.914634146341463","0.872093023255814","0.892857142857143"
"Fold","74","450","4","13","0.948717948717949","0.850574712643678","0.896969696969697"
"CV Avg","70.5","446.7","7.6","16.3","0.903208672816846","0.812296177492649","0.854629962690683"
"Test","222","2862","63","183","0.778947368421053","0.548148148148148","0.643478260869565"
