NA,"TP","TN","FP","FN","Precision","Recall","F-Score"
"Trainning metrics","878","5352","66","160","0.930084745762712","0.845857418111753","0.885973763874874"
"Fold","85","529","13","19","0.86734693877551","0.817307692307692","0.841584158415842"
"Fold","82","532","9","22","0.901098901098901","0.788461538461538","0.841025641025641"
"Fold","84","532","10","20","0.893617021276596","0.807692307692308","0.848484848484849"
"Fold","81","531","11","23","0.880434782608696","0.778846153846154","0.826530612244898"
"Fold","92","529","13","12","0.876190476190476","0.884615384615385","0.880382775119617"
"Fold","85","531","11","19","0.885416666666667","0.817307692307692","0.85"
"Fold","84","531","10","20","0.893617021276596","0.807692307692308","0.848484848484849"
"Fold","82","533","9","22","0.901098901098901","0.788461538461538","0.841025641025641"
"Fold","89","535","7","14","0.927083333333333","0.864077669902913","0.894472361809045"
"Fold","88","531","11","15","0.888888888888889","0.854368932038835","0.871287128712871"
"CV Avg","85.2","531.4","10.4","18.6","0.891479293121456","0.820883121732636","0.854327801532325"
"Test","229","2816","109","176","0.677514792899408","0.565432098765432","0.616419919246299"
