NA,"TP","TN","FP","FN","Precision","Recall","F-Score"
"Trainning metrics","125","814","6","32","0.954198473282443","0.796178343949045","0.868055555555556"
"Fold","13","81","1","3","0.928571428571429","0.8125","0.866666666666667"
"Fold","11","79","3","4","0.785714285714286","0.733333333333333","0.758620689655172"
"Fold","7","82","0","8","1","0.466666666666667","0.636363636363636"
"Fold","12","81","1","4","0.923076923076923","0.75","0.827586206896552"
"Fold","16","79","3","0","0.842105263157895","1","0.914285714285714"
"Fold","13","80","2","3","0.866666666666667","0.8125","0.838709677419355"
"Fold","12","79","3","3","0.8","0.8","0.8"
"Fold","12","77","5","4","0.705882352941177","0.75","0.727272727272727"
"Fold","12","82","0","4","1","0.75","0.857142857142857"
"Fold","10","81","1","6","0.909090909090909","0.625","0.740740740740741"
"CV Avg","11.8","80.1","1.9","3.9","0.876110782921929","0.75","0.796738891644342"
"Test","247","2747","178","158","0.581176470588235","0.609876543209876","0.595180722891566"
