NA,"TP","TN","FP","FN","Precision","Recall","F-Score"
"Trainning metrics","602","3687","34","106","0.946540880503145","0.850282485875706","0.895833333333333"
"Fold","60","365","7","11","0.895522388059702","0.845070422535211","0.869565217391304"
"Fold","56","367","5","15","0.918032786885246","0.788732394366197","0.848484848484849"
"Fold","50","369","3","20","0.943396226415094","0.714285714285714","0.813008130081301"
"Fold","61","368","4","10","0.938461538461538","0.859154929577465","0.897058823529412"
"Fold","57","366","6","14","0.904761904761905","0.802816901408451","0.850746268656716"
"Fold","60","359","13","11","0.821917808219178","0.845070422535211","0.833333333333333"
"Fold","62","369","3","9","0.953846153846154","0.873239436619718","0.911764705882353"
"Fold","60","364","8","11","0.882352941176471","0.845070422535211","0.863309352517986"
"Fold","52","365","7","19","0.88135593220339","0.732394366197183","0.8"
"Fold","53","365","8","17","0.868852459016393","0.757142857142857","0.809160305343511"
"CV Avg","57.1","365.7","6.4","13.7","0.900850013904507","0.806297786720322","0.849643098522077"
"Test","221","2845","80","184","0.73421926910299","0.545679012345679","0.626062322946176"
