NA,"TP","TN","FP","FN","Precision","Recall","F-Score"
"Trainning metrics","736","4609","44","153","0.943589743589744","0.827896512935883","0.881965248651887"
"Fold","72","463","3","16","0.96","0.818181818181818","0.883435582822086"
"Fold","76","454","11","13","0.873563218390805","0.853932584269663","0.863636363636364"
"Fold","73","456","10","16","0.879518072289157","0.820224719101124","0.848837209302326"
"Fold","73","456","9","16","0.890243902439024","0.820224719101124","0.853801169590643"
"Fold","74","453","12","15","0.86046511627907","0.831460674157303","0.845714285714286"
"Fold","70","462","4","19","0.945945945945946","0.786516853932584","0.858895705521472"
"Fold","71","460","5","18","0.934210526315789","0.797752808988764","0.860606060606061"
"Fold","70","457","8","19","0.897435897435897","0.786516853932584","0.838323353293413"
"Fold","74","456","9","15","0.891566265060241","0.831460674157303","0.86046511627907"
"Fold","76","454","11","13","0.873563218390805","0.853932584269663","0.863636363636364"
"CV Avg","72.9","457.1","8.2","16","0.900651216254673","0.820020429009193","0.857735121040208"
"Test","266","2823","102","139","0.722826086956522","0.65679012345679","0.688227684346701"
