NA,"TP","TN","FP","FN","Precision","Recall","F-Score"
"Trainning metrics","693","4067","38","89","0.948016415868673","0.88618925831202","0.91606080634501"
"Fold","62","403","7","17","0.898550724637681","0.784810126582278","0.837837837837838"
"Fold","64","403","7","14","0.901408450704225","0.82051282051282","0.859060402684564"
"Fold","67","404","6","11","0.917808219178082","0.858974358974359","0.887417218543046"
"Fold","54","399","12","24","0.818181818181818","0.692307692307692","0.75"
"Fold","71","401","10","8","0.876543209876543","0.89873417721519","0.8875"
"Fold","64","403","8","14","0.888888888888889","0.82051282051282","0.853333333333333"
"Fold","69","400","10","9","0.873417721518987","0.884615384615385","0.878980891719745"
"Fold","56","408","3","22","0.949152542372881","0.717948717948718","0.817518248175182"
"Fold","61","400","11","17","0.847222222222222","0.782051282051282","0.813333333333333"
"Fold","63","409","1","15","0.984375","0.807692307692308","0.887323943661972"
"CV Avg","63.1","403","7.5","15.1","0.895554879758133","0.806815968841285","0.847230520928901"
"Test","215","2888","37","190","0.853174603174603","0.530864197530864","0.654490106544901"
