NA,"TP","TN","FP","FN","Precision","Recall","F-Score"
"Trainning metrics","887","5238","70","130","0.926854754440961","0.872173058013766","0.898682877406282"
"Fold","87","522","9","15","0.90625","0.852941176470588","0.878787878787879"
"Fold","86","521","10","15","0.895833333333333","0.851485148514851","0.873096446700508"
"Fold","85","520","11","17","0.885416666666667","0.833333333333333","0.858585858585859"
"Fold","85","519","12","17","0.876288659793814","0.833333333333333","0.85427135678392"
"Fold","90","521","9","12","0.909090909090909","0.882352941176471","0.895522388059701"
"Fold","73","521","10","29","0.879518072289157","0.715686274509804","0.789189189189189"
"Fold","79","520","10","23","0.887640449438202","0.774509803921569","0.827225130890052"
"Fold","84","516","15","17","0.848484848484849","0.831683168316832","0.84"
"Fold","82","523","8","19","0.911111111111111","0.811881188118812","0.858638743455497"
"Fold","78","526","5","24","0.939759036144578","0.764705882352941","0.843243243243243"
"CV Avg","82.9","520.9","9.9","18.8","0.893939308635262","0.815191225004853","0.851856023569585"
"Test","248","2850","75","157","0.767801857585139","0.612345679012346","0.681318681318681"
