NA,"TP","TN","FP","FN","Precision","Recall","F-Score"
"Trainning metrics","579","3413","34","76","0.944535073409462","0.883969465648855","0.913249211356467"
"Fold","57","336","9","9","0.863636363636364","0.863636363636364","0.863636363636364"
"Fold","50","339","6","16","0.892857142857143","0.757575757575758","0.819672131147541"
"Fold","54","338","6","12","0.9","0.818181818181818","0.857142857142857"
"Fold","53","341","4","12","0.929824561403509","0.815384615384615","0.868852459016393"
"Fold","49","339","6","16","0.890909090909091","0.753846153846154","0.816666666666667"
"Fold","56","340","5","10","0.918032786885246","0.848484848484849","0.881889763779528"
"Fold","54","337","7","11","0.885245901639344","0.830769230769231","0.857142857142857"
"Fold","52","339","6","13","0.896551724137931","0.8","0.845528455284553"
"Fold","52","337","7","13","0.88135593220339","0.8","0.838709677419355"
"Fold","49","337","8","17","0.859649122807018","0.742424242424242","0.796747967479675"
"CV Avg","52.6","338.3","6.4","12.9","0.891806262647904","0.803030303030303","0.844598919871579"
"Test","223","2869","56","182","0.799283154121864","0.550617283950617","0.652046783625731"
