NA,"TP","TN","FP","FN","Precision","Recall","F-Score"
"Trainning metrics","389","2385","19","70","0.95343137254902","0.847494553376906","0.897347174163783"
"Fold","41","237","3","5","0.931818181818182","0.891304347826087","0.911111111111111"
"Fold","33","234","6","13","0.846153846153846","0.717391304347826","0.776470588235294"
"Fold","38","237","4","8","0.904761904761905","0.826086956521739","0.863636363636364"
"Fold","40","235","6","5","0.869565217391304","0.888888888888889","0.879120879120879"
"Fold","38","240","1","8","0.974358974358974","0.826086956521739","0.894117647058823"
"Fold","32","238","2","14","0.941176470588235","0.695652173913043","0.8"
"Fold","34","236","4","12","0.894736842105263","0.739130434782609","0.80952380952381"
"Fold","42","235","5","4","0.893617021276596","0.91304347826087","0.903225806451613"
"Fold","36","237","4","10","0.9","0.782608695652174","0.837209302325581"
"Fold","35","236","4","11","0.897435897435897","0.760869565217391","0.823529411764706"
"CV Avg","36.9","236.5","3.9","9","0.90536243558902","0.804106280193237","0.849794491922818"
"Test","204","2854","71","201","0.741818181818182","0.503703703703704","0.6"
