NA,"TP","TN","FP","FN","Precision","Recall","F-Score"
"Trainning metrics","99","619","38","27","0.722627737226277","0.785714285714286","0.752851711026616"
"Fold","8","65","1","5","0.888888888888889","0.615384615384615","0.727272727272727"
"Fold","8","66","0","5","1","0.615384615384615","0.761904761904762"
"Fold","10","64","2","3","0.833333333333333","0.769230769230769","0.8"
"Fold","8","63","2","5","0.8","0.615384615384615","0.695652173913043"
"Fold","8","65","1","4","0.888888888888889","0.666666666666667","0.761904761904762"
"Fold","8","64","2","4","0.8","0.666666666666667","0.727272727272727"
"Fold","6","65","0","6","1","0.5","0.666666666666667"
"Fold","8","65","1","4","0.888888888888889","0.666666666666667","0.761904761904762"
"Fold","11","64","2","2","0.846153846153846","0.846153846153846","0.846153846153846"
"Fold","10","62","3","3","0.769230769230769","0.769230769230769","0.769230769230769"
"CV Avg","8.5","64.3","1.4","4.1","0.871538461538461","0.673076923076923","0.751796319622406"
"Test","236","2784","141","169","0.625994694960212","0.582716049382716","0.603580562659847"
