NA,"TP","TN","FP","FN","Precision","Recall","F-Score"
"Trainning metrics","659","3898","42","91","0.940085592011412","0.878666666666667","0.908339076498966"
"Fold","58","379","15","17","0.794520547945205","0.773333333333333","0.783783783783784"
"Fold","63","381","13","12","0.828947368421053","0.84","0.834437086092715"
"Fold","62","385","9","13","0.873239436619718","0.826666666666667","0.849315068493151"
"Fold","66","388","6","9","0.916666666666667","0.88","0.897959183673469"
"Fold","59","389","5","16","0.921875","0.786666666666667","0.848920863309353"
"Fold","65","389","5","10","0.928571428571429","0.866666666666667","0.896551724137931"
"Fold","61","387","7","14","0.897058823529412","0.813333333333333","0.853146853146853"
"Fold","61","387","7","14","0.897058823529412","0.813333333333333","0.853146853146853"
"Fold","59","386","8","16","0.880597014925373","0.786666666666667","0.830985915492958"
"Fold","65","390","4","10","0.942028985507246","0.866666666666667","0.902777777777778"
"CV Avg","61.9","386.1","7.9","13.1","0.888056409571552","0.825333333333333","0.855102510905485"
"Test","230","2840","85","175","0.73015873015873","0.567901234567901","0.638888888888889"
