NA,"TP","TN","FP","FN","Precision","Recall","F-Score"
"Trainning metrics","239","1569","16","62","0.937254901960784","0.794019933554817","0.859712230215827"
"Fold","21","156","2","9","0.91304347826087","0.7","0.792452830188679"
"Fold","22","158","0","9","1","0.709677419354839","0.830188679245283"
"Fold","23","155","4","7","0.851851851851852","0.766666666666667","0.807017543859649"
"Fold","21","157","1","9","0.954545454545455","0.7","0.807692307692308"
"Fold","19","158","0","11","1","0.633333333333333","0.775510204081633"
"Fold","27","156","3","3","0.9","0.9","0.9"
"Fold","24","158","1","6","0.96","0.8","0.872727272727273"
"Fold","20","157","1","10","0.952380952380952","0.666666666666667","0.784313725490196"
"Fold","24","154","5","6","0.827586206896552","0.8","0.813559322033898"
"Fold","24","155","4","6","0.857142857142857","0.8","0.827586206896552"
"CV Avg","22.5","156.4","2.1","7.6","0.921655080107854","0.747634408602151","0.821104809221547"
"Test","226","2838","87","179","0.722044728434505","0.558024691358025","0.629526462395543"
