NA,"TP","TN","FP","FN","Precision","Recall","F-Score"
"Trainning metrics","916","5406","67","133","0.931841302136317","0.873212583412774","0.901574803149606"
"Fold","89","539","9","16","0.908163265306122","0.847619047619048","0.876847290640394"
"Fold","83","538","9","22","0.902173913043478","0.79047619047619","0.842639593908629"
"Fold","94","536","12","11","0.886792452830189","0.895238095238095","0.890995260663507"
"Fold","84","539","8","21","0.91304347826087","0.8","0.852791878172589"
"Fold","86","538","9","19","0.905263157894737","0.819047619047619","0.86"
"Fold","87","533","14","18","0.861386138613861","0.828571428571429","0.844660194174757"
"Fold","86","544","3","19","0.966292134831461","0.819047619047619","0.88659793814433"
"Fold","83","540","7","22","0.922222222222222","0.79047619047619","0.851282051282051"
"Fold","85","537","11","19","0.885416666666667","0.817307692307692","0.85"
"Fold","88","530","17","17","0.838095238095238","0.838095238095238","0.838095238095238"
"CV Avg","86.5","537.4","9.9","18.4","0.898884866776484","0.824587912087912","0.859390944508149"
"Test","246","2800","125","159","0.663072776280323","0.607407407407407","0.634020618556701"
