NA,"TP","TN","FP","FN","Precision","Recall","F-Score"
"Trainning metrics","110","704","7","27","0.94017094017094","0.802919708029197","0.866141732283465"
"Fold","11","69","2","3","0.846153846153846","0.785714285714286","0.814814814814815"
"Fold","10","70","2","4","0.833333333333333","0.714285714285714","0.769230769230769"
"Fold","12","71","0","2","1","0.857142857142857","0.923076923076923"
"Fold","12","69","2","1","0.857142857142857","0.923076923076923","0.888888888888889"
"Fold","9","69","2","4","0.818181818181818","0.692307692307692","0.75"
"Fold","11","69","2","3","0.846153846153846","0.785714285714286","0.814814814814815"
"Fold","13","66","5","1","0.722222222222222","0.928571428571429","0.8125"
"Fold","7","69","2","6","0.777777777777778","0.538461538461538","0.636363636363636"
"Fold","11","69","2","3","0.846153846153846","0.785714285714286","0.814814814814815"
"Fold","9","67","4","5","0.692307692307692","0.642857142857143","0.666666666666667"
"CV Avg","10.5","68.8","2.3","3.2","0.823942723942724","0.765384615384615","0.789117132867133"
"Test","222","2728","197","183","0.529832935560859","0.548148148148148","0.538834951456311"
