NA,"TP","TN","FP","FN","Precision","Recall","F-Score"
"Trainning metrics","181","1193","9","48","0.952631578947368","0.790393013100437","0.863961813842482"
"Fold","16","120","0","7","1","0.695652173913043","0.82051282051282"
"Fold","18","114","6","4","0.75","0.818181818181818","0.782608695652174"
"Fold","17","119","1","6","0.944444444444444","0.739130434782609","0.829268292682927"
"Fold","15","120","1","8","0.9375","0.652173913043478","0.769230769230769"
"Fold","16","119","1","7","0.941176470588235","0.695652173913043","0.8"
"Fold","17","115","5","6","0.772727272727273","0.739130434782609","0.755555555555556"
"Fold","16","119","1","7","0.941176470588235","0.695652173913043","0.8"
"Fold","14","120","1","9","0.933333333333333","0.608695652173913","0.736842105263158"
"Fold","21","117","3","2","0.875","0.91304347826087","0.893617021276596"
"Fold","20","117","3","3","0.869565217391304","0.869565217391304","0.869565217391304"
"CV Avg","17","118","2.2","5.9","0.896492320907282","0.742687747035573","0.80572004775653"
"Test","220","2829","96","185","0.69620253164557","0.54320987654321","0.610263522884882"
