NA,"TP","TN","FP","FN","Precision","Recall","F-Score"
"Trainning metrics","322","2005","17","65","0.949852507374631","0.832041343669251","0.887052341597796"
"Fold","29","199","3","9","0.90625","0.763157894736842","0.828571428571429"
"Fold","33","198","4","5","0.891891891891892","0.868421052631579","0.88"
"Fold","29","200","2","10","0.935483870967742","0.743589743589744","0.828571428571429"
"Fold","30","198","4","9","0.882352941176471","0.769230769230769","0.821917808219178"
"Fold","31","196","7","8","0.815789473684211","0.794871794871795","0.805194805194805"
"Fold","25","196","6","14","0.806451612903226","0.641025641025641","0.714285714285714"
"Fold","34","199","3","5","0.918918918918919","0.871794871794872","0.894736842105263"
"Fold","29","196","7","9","0.805555555555556","0.763157894736842","0.783783783783784"
"Fold","31","200","2","8","0.939393939393939","0.794871794871795","0.861111111111111"
"Fold","33","200","2","6","0.942857142857143","0.846153846153846","0.891891891891892"
"CV Avg","30.4","198.2","4","8.3","0.88449453473491","0.785627530364372","0.831006481373461"
"Test","235","2842","83","170","0.738993710691824","0.580246913580247","0.650069156293223"
