NA,"TP","TN","FP","FN","Precision","Recall","F-Score"
"Trainning metrics","560","3364","28","84","0.952380952380952","0.869565217391304","0.909090909090909"
"Fold","55","333","6","9","0.901639344262295","0.859375","0.88"
"Fold","51","335","4","13","0.927272727272727","0.796875","0.857142857142857"
"Fold","52","336","3","12","0.945454545454545","0.8125","0.873949579831933"
"Fold","50","329","10","14","0.833333333333333","0.78125","0.806451612903226"
"Fold","52","334","5","12","0.912280701754386","0.8125","0.859504132231405"
"Fold","51","333","6","14","0.894736842105263","0.784615384615385","0.836065573770492"
"Fold","47","330","9","18","0.839285714285714","0.723076923076923","0.776859504132231"
"Fold","60","334","6","5","0.909090909090909","0.923076923076923","0.916030534351145"
"Fold","51","333","6","14","0.894736842105263","0.784615384615385","0.836065573770492"
"Fold","49","336","4","15","0.924528301886792","0.765625","0.837606837606838"
"CV Avg","51.8","333.3","5.9","12.6","0.898235926155123","0.804350961538462","0.847967620574062"
"Test","205","2870","55","200","0.788461538461538","0.506172839506173","0.616541353383459"
