NA,"TP","TN","FP","FN","Precision","Recall","F-Score"
"Trainning metrics","239","1624","15","72","0.940944881889764","0.768488745980707","0.846017699115044"
"Fold","24","157","7","7","0.774193548387097","0.774193548387097","0.774193548387097"
"Fold","21","164","0","10","1","0.67741935483871","0.807692307692308"
"Fold","22","164","0","9","1","0.709677419354839","0.830188679245283"
"Fold","21","162","2","10","0.91304347826087","0.67741935483871","0.777777777777778"
"Fold","25","158","5","6","0.833333333333333","0.806451612903226","0.819672131147541"
"Fold","20","161","3","11","0.869565217391304","0.645161290322581","0.740740740740741"
"Fold","28","162","2","4","0.933333333333333","0.875","0.903225806451613"
"Fold","21","156","8","10","0.724137931034483","0.67741935483871","0.7"
"Fold","24","160","4","7","0.857142857142857","0.774193548387097","0.813559322033898"
"Fold","25","161","3","6","0.892857142857143","0.806451612903226","0.847457627118644"
"CV Avg","23.1","160.5","3.4","8","0.879760684174042","0.74233870967742","0.80145079405949"
"Test","213","2873","52","192","0.80377358490566","0.525925925925926","0.635820895522388"
