NA,"TP","TN","FP","FN","Precision","Recall","F-Score"
"Trainning metrics","20","162","2","12","0.909090909090909","0.625","0.740740740740741"
"Fold","2","14","2","2","0.5","0.5","0.5"
"Fold","2","15","2","1","0.5","0.666666666666667","0.571428571428572"
"Fold","3","15","2","0","0.6","1","0.75"
"Fold","2","15","1","1","0.666666666666667","0.666666666666667","0.666666666666667"
"Fold","2","15","1","2","0.666666666666667","0.5","0.571428571428572"
"Fold","2","15","1","1","0.666666666666667","0.666666666666667","0.666666666666667"
"Fold","1","17","0","2","1","0.333333333333333","0.5"
"Fold","0","15","1","3","0","0","0"
"Fold","3","14","2","0","0.6","1","0.75"
"Fold","2","11","6","1","0.25","0.666666666666667","0.363636363636364"
"CV Avg","1.9","14.6","1.8","1.3","0.545","0.6","0.533982683982684"
"Test","176","2591","334","229","0.345098039215686","0.434567901234568","0.384699453551913"
