NA,"TP","TN","FP","FN","Precision","Recall","F-Score"
"Trainning metrics","81","599","3","35","0.964285714285714","0.698275862068966","0.81"
"Fold","9","59","1","2","0.9","0.818181818181818","0.857142857142857"
"Fold","4","56","4","8","0.5","0.333333333333333","0.4"
"Fold","10","57","3","2","0.769230769230769","0.833333333333333","0.8"
"Fold","7","59","1","4","0.875","0.636363636363636","0.736842105263158"
"Fold","6","59","2","6","0.75","0.5","0.6"
"Fold","11","60","1","0","0.916666666666667","1","0.956521739130435"
"Fold","11","59","1","1","0.916666666666667","0.916666666666667","0.916666666666667"
"Fold","8","57","3","4","0.727272727272727","0.666666666666667","0.695652173913043"
"Fold","9","55","5","2","0.642857142857143","0.818181818181818","0.72"
"Fold","9","60","0","3","1","0.75","0.857142857142857"
"CV Avg","8.4","58.1","2.1","3.2","0.799769397269397","0.727272727272727","0.753996839925902"
"Test","214","2859","66","191","0.764285714285714","0.528395061728395","0.624817518248175"
