NA,"TP","TN","FP","FN","Precision","Recall","F-Score"
"Trainning metrics","17","268","5","36","0.772727272727273","0.320754716981132","0.453333333333333"
"Fold","1","27","0","4","1","0.2","0.333333333333333"
"Fold","3","25","2","2","0.6","0.6","0.6"
"Fold","1","27","0","4","1","0.2","0.333333333333333"
"Fold","4","24","3","2","0.571428571428571","0.666666666666667","0.615384615384615"
"Fold","4","26","2","2","0.666666666666667","0.666666666666667","0.666666666666667"
"Fold","4","21","6","1","0.4","0.8","0.533333333333333"
"Fold","3","22","6","2","0.333333333333333","0.6","0.428571428571429"
"Fold","3","26","1","2","0.75","0.6","0.666666666666667"
"Fold","5","26","1","1","0.833333333333333","0.833333333333333","0.833333333333333"
"Fold","2","28","0","3","1","0.4","0.571428571428572"
"CV Avg","3","25.2","2.1","2.3","0.71547619047619","0.556666666666667","0.558205128205128"
"Test","131","2866","59","274","0.689473684210526","0.323456790123457","0.440336134453782"
