NA,"TP","TN","FP","FN","Precision","Recall","F-Score"
"Trainning metrics","18","321","6","46","0.75","0.28125","0.409090909090909"
"Fold","3","32","1","4","0.75","0.428571428571429","0.545454545454545"
"Fold","3","32","1","3","0.75","0.5","0.6"
"Fold","3","31","2","3","0.6","0.5","0.545454545454545"
"Fold","5","31","2","2","0.714285714285714","0.714285714285714","0.714285714285714"
"Fold","5","31","1","1","0.833333333333333","0.833333333333333","0.833333333333333"
"Fold","2","31","2","4","0.5","0.333333333333333","0.4"
"Fold","5","29","4","2","0.555555555555556","0.714285714285714","0.625"
"Fold","5","31","1","1","0.833333333333333","0.833333333333333","0.833333333333333"
"Fold","2","32","1","5","0.666666666666667","0.285714285714286","0.4"
"Fold","4","31","1","2","0.8","0.666666666666667","0.727272727272727"
"CV Avg","3.7","31.1","1.6","2.7","0.70031746031746","0.580952380952381","0.62241341991342"
"Test","241","2738","187","164","0.563084112149533","0.595061728395062","0.578631452581032"
