NA,"TP","TN","FP","FN","Precision","Recall","F-Score"
"Trainning metrics","471","2795","48","69","0.907514450867052","0.872222222222222","0.889518413597734"
"Fold","45","282","3","9","0.9375","0.833333333333333","0.882352941176471"
"Fold","41","279","5","13","0.891304347826087","0.759259259259259","0.82"
"Fold","47","277","8","7","0.854545454545454","0.87037037037037","0.862385321100917"
"Fold","46","279","6","8","0.884615384615385","0.851851851851852","0.867924528301887"
"Fold","41","278","6","13","0.872340425531915","0.759259259259259","0.811881188118812"
"Fold","38","283","1","16","0.974358974358974","0.703703703703704","0.817204301075269"
"Fold","49","279","5","5","0.907407407407407","0.907407407407407","0.907407407407407"
"Fold","41","278","6","13","0.872340425531915","0.759259259259259","0.811881188118812"
"Fold","43","279","5","11","0.895833333333333","0.796296296296296","0.843137254901961"
"Fold","39","278","6","15","0.866666666666667","0.722222222222222","0.787878787878788"
"CV Avg","43","279.2","5.1","11","0.895691241981714","0.796296296296296","0.841205291808032"
"Test","231","2871","54","174","0.810526315789474","0.57037037037037","0.669565217391304"
