NA,"TP","TN","FP","FN","Precision","Recall","F-Score"
"Trainning metrics","143","920","9","35","0.940789473684211","0.803370786516854","0.866666666666667"
"Fold","13","92","1","5","0.928571428571429","0.722222222222222","0.8125"
"Fold","15","92","1","3","0.9375","0.833333333333333","0.882352941176471"
"Fold","14","92","1","3","0.933333333333333","0.823529411764706","0.875"
"Fold","16","91","2","2","0.888888888888889","0.888888888888889","0.888888888888889"
"Fold","10","91","1","8","0.909090909090909","0.555555555555556","0.689655172413793"
"Fold","14","91","2","4","0.875","0.777777777777778","0.823529411764706"
"Fold","14","89","4","4","0.777777777777778","0.777777777777778","0.777777777777778"
"Fold","11","92","1","7","0.916666666666667","0.611111111111111","0.733333333333333"
"Fold","12","93","0","5","1","0.705882352941177","0.827586206896552"
"Fold","13","93","0","5","1","0.722222222222222","0.838709677419355"
"CV Avg","13.2","91.6","1.3","4.6","0.9166829004329","0.741830065359477","0.814933340967088"
"Test","212","2828","97","193","0.686084142394822","0.523456790123457","0.593837535014006"
