NA,"TP","TN","FP","FN","Precision","Recall","F-Score"
"Trainning metrics","808","4769","48","112","0.94392523364486","0.878260869565217","0.90990990990991"
"Fold","74","479","3","18","0.961038961038961","0.804347826086957","0.875739644970414"
"Fold","83","474","8","9","0.912087912087912","0.902173913043478","0.907103825136612"
"Fold","70","473","9","22","0.886075949367089","0.760869565217391","0.818713450292398"
"Fold","74","476","6","18","0.925","0.804347826086957","0.86046511627907"
"Fold","68","470","11","24","0.860759493670886","0.739130434782609","0.795321637426901"
"Fold","76","472","10","16","0.883720930232558","0.826086956521739","0.853932584269663"
"Fold","77","478","4","15","0.950617283950617","0.83695652173913","0.890173410404624"
"Fold","72","473","9","20","0.888888888888889","0.782608695652174","0.832369942196532"
"Fold","77","472","9","15","0.895348837209302","0.83695652173913","0.865168539325843"
"Fold","76","468","13","16","0.853932584269663","0.826086956521739","0.839779005524862"
"CV Avg","74.7","473.5","8.2","17.3","0.901747084071588","0.81195652173913","0.853876715582692"
"Test","261","2843","82","144","0.760932944606414","0.644444444444444","0.697860962566845"
