NA,"TP","TN","FP","FN","Precision","Recall","F-Score"
"Trainning metrics","14","110","0","7","1","0.666666666666667","0.8"
"Fold","0","11","0","2","0","0","0"
"Fold","0","9","2","2","0","0","0"
"Fold","0","11","0","3","0","0","0"
"Fold","0","11","0","2","0","0","0"
"Fold","1","11","0","1","1","0.5","0.666666666666667"
"Fold","1","10","1","1","0.5","0.5","0.5"
"Fold","1","11","0","1","1","0.5","0.666666666666667"
"Fold","2","11","0","0","1","1","1"
"Fold","1","11","0","1","1","0.5","0.666666666666667"
"Fold","1","10","1","1","0.5","0.5","0.5"
"CV Avg","0.7","10.6","0.4","1.4","0.5","0.35","0.4"
"Test","188","2525","400","217","0.319727891156463","0.464197530864198","0.37865055387714"
