NA,"TP","TN","FP","FN","Precision","Recall","F-Score"
"Trainning metrics","72","413","24","13","0.75","0.847058823529412","0.795580110497237"
"Fold","4","43","1","5","0.8","0.444444444444444","0.571428571428571"
"Fold","7","42","2","1","0.777777777777778","0.875","0.823529411764706"
"Fold","5","43","1","4","0.833333333333333","0.555555555555556","0.666666666666667"
"Fold","4","44","0","4","1","0.5","0.666666666666667"
"Fold","5","44","0","3","1","0.625","0.769230769230769"
"Fold","5","41","3","3","0.625","0.625","0.625"
"Fold","7","38","5","2","0.583333333333333","0.777777777777778","0.666666666666667"
"Fold","4","43","1","5","0.8","0.444444444444444","0.571428571428571"
"Fold","5","42","1","4","0.833333333333333","0.555555555555556","0.666666666666667"
"Fold","7","39","4","1","0.636363636363636","0.875","0.736842105263158"
"CV Avg","5.3","41.9","1.8","3.2","0.788914141414141","0.627777777777778","0.676412609578244"
"Test","240","2680","245","165","0.494845360824742","0.592592592592593","0.539325842696629"
