NA,"TP","TN","FP","FN","Precision","Recall","F-Score"
"Trainning metrics","86","482","10","9","0.895833333333333","0.905263157894737","0.900523560209424"
"Fold","3","49","0","6","1","0.333333333333333","0.5"
"Fold","9","47","2","0","0.818181818181818","1","0.9"
"Fold","6","45","4","4","0.6","0.6","0.6"
"Fold","8","50","0","1","1","0.888888888888889","0.941176470588235"
"Fold","9","47","2","1","0.818181818181818","0.9","0.857142857142857"
"Fold","9","46","3","1","0.75","0.9","0.818181818181818"
"Fold","5","49","0","5","1","0.5","0.666666666666667"
"Fold","7","48","1","2","0.875","0.777777777777778","0.823529411764706"
"Fold","3","47","2","6","0.6","0.333333333333333","0.428571428571429"
"Fold","6","49","1","4","0.857142857142857","0.6","0.705882352941176"
"CV Avg","6.5","47.7","1.5","3","0.831850649350649","0.683333333333333","0.724115100585689"
"Test","153","2850","75","252","0.671052631578947","0.377777777777778","0.483412322274882"
