NA,"TP","TN","FP","FN","Precision","Recall","F-Score"
"Trainning metrics","65","370","12","9","0.844155844155844","0.878378378378378","0.860927152317881"
"Fold","2","36","2","5","0.5","0.285714285714286","0.363636363636364"
"Fold","4","37","1","3","0.8","0.571428571428571","0.666666666666667"
"Fold","5","34","4","3","0.555555555555556","0.625","0.588235294117647"
"Fold","4","38","0","3","1","0.571428571428571","0.727272727272727"
"Fold","6","37","2","2","0.75","0.75","0.75"
"Fold","7","35","3","1","0.7","0.875","0.777777777777778"
"Fold","6","38","1","2","0.857142857142857","0.75","0.8"
"Fold","4","38","0","3","1","0.571428571428571","0.727272727272727"
"Fold","3","38","0","4","1","0.428571428571429","0.6"
"Fold","4","36","2","3","0.666666666666667","0.571428571428571","0.615384615384615"
"CV Avg","4.5","36.7","1.5","2.9","0.782936507936508","0.6","0.661624617212852"
"Test","129","2859","66","276","0.661538461538462","0.318518518518519","0.43"
