NA,"TP","TN","FP","FN","Precision","Recall","F-Score"
"Trainning metrics","142","870","5","26","0.965986394557823","0.845238095238095","0.901587301587302"
"Fold","12","87","0","5","1","0.705882352941177","0.827586206896552"
"Fold","13","87","1","4","0.928571428571429","0.764705882352941","0.838709677419355"
"Fold","14","82","5","3","0.736842105263158","0.823529411764706","0.777777777777778"
"Fold","14","84","3","3","0.823529411764706","0.823529411764706","0.823529411764706"
"Fold","14","86","2","3","0.875","0.823529411764706","0.848484848484849"
"Fold","11","88","0","5","1","0.6875","0.814814814814815"
"Fold","13","84","3","4","0.8125","0.764705882352941","0.787878787878788"
"Fold","13","86","2","4","0.866666666666667","0.764705882352941","0.8125"
"Fold","13","86","1","4","0.928571428571429","0.764705882352941","0.838709677419355"
"Fold","15","85","3","1","0.833333333333333","0.9375","0.882352941176471"
"CV Avg","13.2","85.5","2","3.6","0.880501437417072","0.786029411764706","0.825234414363267"
"Test","253","2718","207","152","0.55","0.624691358024691","0.584971098265896"
