NA,"TP","TN","FP","FN","Precision","Recall","F-Score"
"Trainning metrics","497","2858","40","53","0.925512104283054","0.903636363636364","0.914443422263109"
"Fold","45","284","6","10","0.882352941176471","0.818181818181818","0.849056603773585"
"Fold","44","285","5","11","0.897959183673469","0.8","0.846153846153846"
"Fold","46","286","4","9","0.92","0.836363636363636","0.876190476190476"
"Fold","44","284","6","11","0.88","0.8","0.838095238095238"
"Fold","46","283","6","9","0.884615384615385","0.836363636363636","0.859813084112149"
"Fold","40","285","4","15","0.909090909090909","0.727272727272727","0.808080808080808"
"Fold","44","289","1","11","0.977777777777778","0.8","0.88"
"Fold","40","285","5","15","0.888888888888889","0.727272727272727","0.8"
"Fold","40","283","7","15","0.851063829787234","0.727272727272727","0.784313725490196"
"Fold","49","285","5","6","0.907407407407407","0.890909090909091","0.899082568807339"
"CV Avg","43.8","284.9","4.9","11.2","0.899915632241754","0.796363636363636","0.844078635070364"
"Test","241","2854","71","164","0.772435897435897","0.595061728395062","0.672245467224547"
