NA,"TP","TN","FP","FN","Precision","Recall","F-Score"
"Trainning metrics","412","2604","20","87","0.953703703703704","0.82565130260521","0.885069817400645"
"Fold","42","257","5","8","0.893617021276596","0.84","0.865979381443299"
"Fold","40","257","6","10","0.869565217391304","0.8","0.833333333333333"
"Fold","42","258","4","8","0.91304347826087","0.84","0.875"
"Fold","37","261","1","13","0.973684210526316","0.74","0.840909090909091"
"Fold","40","255","7","9","0.851063829787234","0.816326530612245","0.833333333333333"
"Fold","44","258","5","6","0.897959183673469","0.88","0.888888888888889"
"Fold","41","256","6","9","0.872340425531915","0.82","0.845360824742268"
"Fold","41","250","12","9","0.773584905660377","0.82","0.796116504854369"
"Fold","35","256","7","15","0.833333333333333","0.7","0.760869565217391"
"Fold","37","256","7","13","0.840909090909091","0.74","0.787234042553192"
"CV Avg","39.9","256.4","6","10","0.871910069635051","0.799632653061224","0.832702496527516"
"Test","214","2841","84","191","0.718120805369127","0.528395061728395","0.608819345661451"
