NA,"TP","TN","FP","FN","Precision","Recall","F-Score"
"Trainning metrics","805","4820","51","125","0.940420560747664","0.865591397849462","0.901455767077268"
"Fold","83","478","9","10","0.902173913043478","0.89247311827957","0.897297297297297"
"Fold","83","482","6","10","0.932584269662921","0.89247311827957","0.912087912087912"
"Fold","80","476","11","13","0.879120879120879","0.860215053763441","0.869565217391304"
"Fold","75","473","14","18","0.842696629213483","0.806451612903226","0.824175824175824"
"Fold","72","483","4","21","0.947368421052632","0.774193548387097","0.85207100591716"
"Fold","72","475","12","21","0.857142857142857","0.774193548387097","0.813559322033898"
"Fold","68","479","8","25","0.894736842105263","0.731182795698925","0.804733727810651"
"Fold","81","480","7","12","0.920454545454545","0.870967741935484","0.895027624309392"
"Fold","81","480","7","12","0.920454545454545","0.870967741935484","0.895027624309392"
"Fold","71","477","10","22","0.876543209876543","0.763440860215054","0.816091954022988"
"CV Avg","76.6","478.3","8.8","16.4","0.897327611212715","0.823655913978495","0.857963750935582"
"Test","230","2858","67","175","0.774410774410774","0.567901234567901","0.655270655270655"
