NA,"TP","TN","FP","FN","Precision","Recall","F-Score"
"Trainning metrics","260","1674","20","62","0.928571428571429","0.807453416149068","0.863787375415282"
"Fold","19","166","3","14","0.863636363636364","0.575757575757576","0.690909090909091"
"Fold","24","167","2","9","0.923076923076923","0.727272727272727","0.813559322033898"
"Fold","28","166","3","4","0.903225806451613","0.875","0.888888888888889"
"Fold","27","166","4","5","0.870967741935484","0.84375","0.857142857142857"
"Fold","23","166","3","9","0.884615384615385","0.71875","0.793103448275862"
"Fold","24","168","1","8","0.96","0.75","0.842105263157895"
"Fold","24","165","5","8","0.827586206896552","0.75","0.786885245901639"
"Fold","25","167","3","7","0.892857142857143","0.78125","0.833333333333333"
"Fold","22","168","2","10","0.916666666666667","0.6875","0.785714285714286"
"Fold","28","167","2","4","0.933333333333333","0.875","0.903225806451613"
"CV Avg","24.4","166.6","2.8","7.8","0.897596556946946","0.75842803030303","0.819486754180936"
"Test","237","2851","74","168","0.762057877813505","0.585185185185185","0.662011173184358"
