NA,"TP","TN","FP","FN","Precision","Recall","F-Score"
"Trainning metrics","497","3040","22","83","0.957610789980732","0.856896551724138","0.904458598726115"
"Fold","44","296","10","14","0.814814814814815","0.758620689655172","0.785714285714286"
"Fold","43","300","6","15","0.877551020408163","0.741379310344828","0.803738317757009"
"Fold","45","299","7","13","0.865384615384615","0.775862068965517","0.818181818181818"
"Fold","46","302","4","12","0.92","0.793103448275862","0.851851851851852"
"Fold","40","303","4","18","0.909090909090909","0.689655172413793","0.784313725490196"
"Fold","53","302","4","5","0.929824561403509","0.913793103448276","0.921739130434783"
"Fold","50","301","5","8","0.909090909090909","0.862068965517241","0.884955752212389"
"Fold","48","298","9","10","0.842105263157895","0.827586206896552","0.834782608695652"
"Fold","51","300","6","7","0.894736842105263","0.879310344827586","0.88695652173913"
"Fold","50","300","6","8","0.892857142857143","0.862068965517241","0.87719298245614"
"CV Avg","47","300.1","6.1","11","0.885545607831322","0.810344827586207","0.844942699453325"
"Test","251","2823","102","154","0.711048158640227","0.619753086419753","0.662269129287599"
