NA,"TP","TN","FP","FN","Precision","Recall","F-Score"
"Trainning metrics","750","4397","36","96","0.954198473282443","0.886524822695035","0.919117647058823"
"Fold","71","439","4","14","0.946666666666667","0.835294117647059","0.8875"
"Fold","67","441","2","18","0.971014492753623","0.788235294117647","0.87012987012987"
"Fold","70","434","9","14","0.886075949367089","0.833333333333333","0.858895705521472"
"Fold","67","432","12","18","0.848101265822785","0.788235294117647","0.817073170731707"
"Fold","72","427","16","13","0.818181818181818","0.847058823529412","0.832369942196532"
"Fold","68","437","7","16","0.906666666666667","0.80952380952381","0.855345911949686"
"Fold","68","440","3","17","0.957746478873239","0.8","0.871794871794872"
"Fold","67","439","4","18","0.943661971830986","0.788235294117647","0.858974358974359"
"Fold","67","436","8","17","0.893333333333333","0.797619047619048","0.842767295597484"
"Fold","65","434","9","19","0.878378378378378","0.773809523809524","0.822784810126582"
"CV Avg","68.2","435.9","7.4","16.4","0.904982702187458","0.806134453781513","0.851763593702256"
"Test","243","2872","53","162","0.820945945945946","0.6","0.693295292439372"
