NA,"TP","TN","FP","FN","Precision","Recall","F-Score"
"Trainning metrics","473","2919","34","87","0.932938856015779","0.844642857142857","0.88659793814433"
"Fold","43","290","5","13","0.895833333333333","0.767857142857143","0.826923076923077"
"Fold","48","286","9","8","0.842105263157895","0.857142857142857","0.849557522123894"
"Fold","41","294","2","15","0.953488372093023","0.732142857142857","0.828282828282828"
"Fold","47","288","7","9","0.87037037037037","0.839285714285714","0.854545454545455"
"Fold","39","286","9","17","0.8125","0.696428571428571","0.75"
"Fold","46","289","6","10","0.884615384615385","0.821428571428571","0.851851851851852"
"Fold","48","294","2","8","0.96","0.857142857142857","0.90566037735849"
"Fold","36","291","4","20","0.9","0.642857142857143","0.75"
"Fold","45","288","8","11","0.849056603773585","0.803571428571429","0.825688073394495"
"Fold","43","293","2","13","0.955555555555556","0.767857142857143","0.851485148514851"
"CV Avg","43.6","289.9","5.4","12.4","0.892352488289915","0.778571428571428","0.829399433299494"
"Test","239","2867","58","166","0.804713804713805","0.590123456790123","0.680911680911681"
