NA,"TP","TN","FP","FN","Precision","Recall","F-Score"
"Trainning metrics","35","215","4","8","0.897435897435897","0.813953488372093","0.853658536585366"
"Fold","2","20","1","2","0.666666666666667","0.5","0.571428571428572"
"Fold","3","21","1","1","0.75","0.75","0.75"
"Fold","2","20","2","2","0.5","0.5","0.5"
"Fold","2","20","2","2","0.5","0.5","0.5"
"Fold","2","21","1","2","0.666666666666667","0.5","0.571428571428572"
"Fold","2","19","3","3","0.4","0.4","0.4"
"Fold","1","20","2","3","0.333333333333333","0.25","0.285714285714286"
"Fold","1","21","1","3","0.5","0.25","0.333333333333333"
"Fold","2","22","0","3","1","0.4","0.571428571428572"
"Fold","4","19","3","1","0.571428571428571","0.8","0.666666666666667"
"CV Avg","2.1","20.3","1.6","2.2","0.588809523809524","0.485","0.515"
"Test","245","2697","228","160","0.517970401691332","0.604938271604938","0.558086560364465"
