NA,"TP","TN","FP","FN","Precision","Recall","F-Score"
"Trainning metrics","276","1782","21","67","0.929292929292929","0.80466472303207","0.8625"
"Fold","30","178","2","4","0.9375","0.882352941176471","0.909090909090909"
"Fold","23","172","8","12","0.741935483870968","0.657142857142857","0.696969696969697"
"Fold","25","178","2","9","0.925925925925926","0.735294117647059","0.819672131147541"
"Fold","28","174","6","6","0.823529411764706","0.823529411764706","0.823529411764706"
"Fold","22","178","2","12","0.916666666666667","0.647058823529412","0.758620689655172"
"Fold","22","177","3","13","0.88","0.628571428571429","0.733333333333333"
"Fold","20","178","3","14","0.869565217391304","0.588235294117647","0.701754385964912"
"Fold","27","177","3","7","0.9","0.794117647058823","0.84375"
"Fold","30","180","1","4","0.967741935483871","0.882352941176471","0.923076923076923"
"Fold","26","176","5","9","0.838709677419355","0.742857142857143","0.787878787878788"
"CV Avg","25.3","176.8","3.5","9","0.88015743185228","0.738151260504202","0.799767626888198"
"Test","220","2884","41","185","0.842911877394636","0.54320987654321","0.660660660660661"
