NA,"TP","TN","FP","FN","Precision","Recall","F-Score"
"Trainning metrics","803","4707","55","106","0.935897435897436","0.883388338833883","0.908885116015846"
"Fold","76","464","12","15","0.863636363636364","0.835164835164835","0.849162011173184"
"Fold","76","467","9","14","0.894117647058824","0.844444444444444","0.868571428571429"
"Fold","69","470","7","22","0.907894736842105","0.758241758241758","0.826347305389222"
"Fold","76","461","15","15","0.835164835164835","0.835164835164835","0.835164835164835"
"Fold","76","463","13","15","0.853932584269663","0.835164835164835","0.844444444444445"
"Fold","71","469","8","20","0.89873417721519","0.78021978021978","0.835294117647059"
"Fold","76","467","9","15","0.894117647058824","0.835164835164835","0.863636363636364"
"Fold","74","467","9","17","0.891566265060241","0.813186813186813","0.850574712643678"
"Fold","73","470","6","18","0.924050632911392","0.802197802197802","0.858823529411765"
"Fold","71","471","5","20","0.934210526315789","0.78021978021978","0.850299401197605"
"CV Avg","73.8","466.9","9.3","17.1","0.889742541553323","0.811916971916972","0.848231814927959"
"Test","245","2825","100","160","0.710144927536232","0.604938271604938","0.653333333333333"
