NA,"TP","TN","FP","FN","Precision","Recall","F-Score"
"Trainning metrics","345","2164","22","73","0.940054495912807","0.825358851674641","0.878980891719745"
"Fold","33","211","8","8","0.804878048780488","0.804878048780488","0.804878048780488"
"Fold","33","212","6","9","0.846153846153846","0.785714285714286","0.814814814814815"
"Fold","32","212","6","10","0.842105263157895","0.761904761904762","0.8"
"Fold","32","217","2","10","0.941176470588235","0.761904761904762","0.842105263157895"
"Fold","29","216","2","13","0.935483870967742","0.69047619047619","0.794520547945206"
"Fold","35","215","4","7","0.897435897435897","0.833333333333333","0.864197530864197"
"Fold","31","212","6","11","0.837837837837838","0.738095238095238","0.784810126582279"
"Fold","33","212","7","8","0.825","0.804878048780488","0.814814814814815"
"Fold","33","216","3","9","0.916666666666667","0.785714285714286","0.846153846153846"
"Fold","36","211","8","6","0.818181818181818","0.857142857142857","0.837209302325581"
"CV Avg","32.7","213.4","5.2","9.1","0.866491971977043","0.782404181184669","0.820350429543912"
"Test","204","2857","68","201","0.75","0.503703703703704","0.602658788774003"
