NA,"TP","TN","FP","FN","Precision","Recall","F-Score"
"Trainning metrics","188","1250","7","51","0.964102564102564","0.786610878661088","0.866359447004608"
"Fold","15","124","1","9","0.9375","0.625","0.75"
"Fold","15","124","2","9","0.882352941176471","0.625","0.731707317073171"
"Fold","21","125","1","3","0.954545454545455","0.875","0.91304347826087"
"Fold","17","125","1","7","0.944444444444444","0.708333333333333","0.80952380952381"
"Fold","19","123","2","5","0.904761904761905","0.791666666666667","0.844444444444444"
"Fold","24","124","2","0","0.923076923076923","1","0.96"
"Fold","19","121","4","5","0.826086956521739","0.791666666666667","0.808510638297872"
"Fold","18","125","1","5","0.947368421052632","0.782608695652174","0.857142857142857"
"Fold","17","124","2","7","0.894736842105263","0.708333333333333","0.790697674418605"
"Fold","15","125","1","9","0.9375","0.625","0.75"
"CV Avg","18","124","1.7","5.9","0.915237388768483","0.753260869565217","0.821507021916163"
"Test","188","2862","63","217","0.749003984063745","0.464197530864198","0.573170731707317"
