NA,"TP","TN","FP","FN","Precision","Recall","F-Score"
"Trainning metrics","516","3252","30","106","0.945054945054945","0.829581993569132","0.883561643835617"
"Fold","42","326","2","21","0.954545454545455","0.666666666666667","0.785046728971963"
"Fold","50","323","5","12","0.909090909090909","0.806451612903226","0.854700854700855"
"Fold","44","327","2","18","0.956521739130435","0.709677419354839","0.814814814814815"
"Fold","51","325","3","12","0.944444444444444","0.80952380952381","0.871794871794872"
"Fold","56","326","3","6","0.949152542372881","0.903225806451613","0.925619834710744"
"Fold","47","320","8","15","0.854545454545454","0.758064516129032","0.803418803418803"
"Fold","49","323","5","13","0.907407407407407","0.790322580645161","0.844827586206897"
"Fold","46","321","7","16","0.867924528301887","0.741935483870968","0.8"
"Fold","53","316","12","9","0.815384615384615","0.854838709677419","0.834645669291339"
"Fold","55","325","3","7","0.948275862068966","0.887096774193548","0.916666666666667"
"CV Avg","49.3","323.2","5","12.9","0.910729295729245","0.792780337941628","0.845153583057696"
"Test","231","2838","87","174","0.726415094339623","0.57037037037037","0.639004149377593"
