NA,"TP","TN","FP","FN","Precision","Recall","F-Score"
"Trainning metrics","676","4016","34","95","0.952112676056338","0.876783398184176","0.912896691424713"
"Fold","61","397","8","16","0.884057971014493","0.792207792207792","0.835616438356164"
"Fold","60","399","6","17","0.909090909090909","0.779220779220779","0.839160839160839"
"Fold","61","398","7","16","0.897058823529412","0.792207792207792","0.841379310344828"
"Fold","63","395","10","15","0.863013698630137","0.807692307692308","0.834437086092715"
"Fold","63","402","3","14","0.954545454545455","0.818181818181818","0.881118881118881"
"Fold","61","388","17","16","0.782051282051282","0.792207792207792","0.787096774193548"
"Fold","65","399","6","12","0.915492957746479","0.844155844155844","0.878378378378378"
"Fold","63","398","7","14","0.9","0.818181818181818","0.857142857142857"
"Fold","55","399","6","22","0.901639344262295","0.714285714285714","0.797101449275362"
"Fold","65","398","7","12","0.902777777777778","0.844155844155844","0.87248322147651"
"CV Avg","61.7","397.3","7.7","15.4","0.890972821864824","0.80024975024975","0.842391523554008"
"Test","244","2835","90","161","0.730538922155689","0.602469135802469","0.660351826792964"
