NA,"TP","TN","FP","FN","Precision","Recall","F-Score"
"Trainning metrics","370","2269","26","68","0.934343434343434","0.844748858447489","0.887290167865707"
"Fold","34","223","7","10","0.829268292682927","0.772727272727273","0.8"
"Fold","34","223","7","10","0.829268292682927","0.772727272727273","0.8"
"Fold","34","223","6","10","0.85","0.772727272727273","0.80952380952381"
"Fold","32","228","2","11","0.941176470588235","0.744186046511628","0.831168831168831"
"Fold","33","223","6","11","0.846153846153846","0.75","0.795180722891566"
"Fold","36","225","4","8","0.9","0.818181818181818","0.857142857142857"
"Fold","33","228","1","11","0.970588235294118","0.75","0.846153846153846"
"Fold","38","227","3","6","0.926829268292683","0.863636363636364","0.894117647058824"
"Fold","35","221","8","9","0.813953488372093","0.795454545454545","0.804597701149425"
"Fold","31","225","5","12","0.861111111111111","0.720930232558139","0.784810126582278"
"CV Avg","34","224.6","4.9","9.8","0.876834900517794","0.776057082452431","0.822269554167144"
"Test","208","2836","89","197","0.7003367003367","0.51358024691358","0.592592592592593"
