NA,"TP","TN","FP","FN","Precision","Recall","F-Score"
"Trainning metrics","207","1414","7","63","0.967289719626168","0.766666666666667","0.855371900826446"
"Fold","22","140","2","5","0.916666666666667","0.814814814814815","0.862745098039216"
"Fold","21","139","3","6","0.875","0.777777777777778","0.823529411764706"
"Fold","17","137","5","10","0.772727272727273","0.62962962962963","0.693877551020408"
"Fold","23","141","1","4","0.958333333333333","0.851851851851852","0.901960784313726"
"Fold","17","139","3","10","0.85","0.62962962962963","0.723404255319149"
"Fold","20","142","0","7","1","0.740740740740741","0.851063829787234"
"Fold","22","138","4","5","0.846153846153846","0.814814814814815","0.830188679245283"
"Fold","17","141","1","10","0.944444444444444","0.62962962962963","0.755555555555556"
"Fold","22","141","2","5","0.916666666666667","0.814814814814815","0.862745098039216"
"Fold","21","141","1","6","0.954545454545455","0.777777777777778","0.857142857142857"
"CV Avg","20.2","139.9","2.2","6.8","0.903453768453768","0.748148148148148","0.816221312022735"
"Test","190","2841","84","215","0.693430656934307","0.469135802469136","0.559646539027982"
