"url.platform" "R"
"55" "http://wwatana.be/mobile/topsites/m.aliexpress.com/ iOS 11.0 - Safari -- iOS - iPhoneSE" 35
"56" "http://wwatana.be/mobile/topsites/m.aliexpress.com/ iOS 11.2 - Safari -- iOS - iPhone 8 Plus" 18
"57" "http://wwatana.be/mobile/topsites/m.aliexpress.com/ null" 5
"58" "http://wwatana.be/mobile/topsites/m.baidu.com/ iOS 11.0 - Safari -- iOS - iPhoneSE" 9
"59" "http://wwatana.be/mobile/topsites/m.baidu.com/ iOS 11.2 - Safari -- iOS - iPhone 8 Plus" 6
"60" "http://wwatana.be/mobile/topsites/m.baidu.com/ null" 3
"61" "http://wwatana.be/mobile/topsites/m.ebay.com/ iOS 11.0 - Safari -- iOS - iPhoneSE" 25
"62" "http://wwatana.be/mobile/topsites/m.ebay.com/ iOS 11.2 - Safari -- iOS - iPhone 8 Plus" 21
"63" "http://wwatana.be/mobile/topsites/m.ebay.com/ null" 6
"64" "http://wwatana.be/mobile/topsites/m.facebook.com/ iOS 11.0 - Safari -- iOS - iPhoneSE" 3
"65" "http://wwatana.be/mobile/topsites/m.facebook.com/ iOS 11.2 - Safari -- iOS - iPhone 8 Plus" 2
"66" "http://wwatana.be/mobile/topsites/m.imdb.com/ iOS 11.0 - Safari -- iOS - iPhoneSE" 48
"67" "http://wwatana.be/mobile/topsites/m.imdb.com/ iOS 11.2 - Safari -- iOS - iPhone 8 Plus" 32
"68" "http://wwatana.be/mobile/topsites/m.twitch.tv/ iOS 11.0 - Safari -- iOS - iPhoneSE" 2
"69" "http://wwatana.be/mobile/topsites/m.twitch.tv/ iOS 11.2 - Safari -- iOS - iPhone 8 Plus" 4
"70" "http://wwatana.be/mobile/topsites/m.youtube.com/ iOS 11.0 - Safari -- iOS - iPhoneSE" 1
"71" "http://wwatana.be/mobile/topsites/m.youtube.com/ iOS 11.2 - Safari -- iOS - iPhone 8 Plus" 1
"72" "http://wwatana.be/mobile/topsites/www.amazon.com/ iOS 11.0 - Safari -- iOS - iPhoneSE" 1
"73" "http://wwatana.be/mobile/topsites/www.amazon.com/ iOS 11.2 - Safari -- iOS - iPhone 8 Plus" 2
"74" "http://wwatana.be/mobile/topsites/www.blogspot.com/ iOS 11.0 - Safari -- iOS - iPhoneSE" 27
"75" "http://wwatana.be/mobile/topsites/www.blogspot.com/ iOS 11.2 - Safari -- iOS - iPhone 8 Plus" 25
"76" "http://wwatana.be/mobile/topsites/www.blogspot.com/ null" 9
"77" "http://wwatana.be/mobile/topsites/www.google.com/ iOS 11.0 - Safari -- iOS - iPhoneSE" 3
"78" "http://wwatana.be/mobile/topsites/www.google.com/ iOS 11.2 - Safari -- iOS - iPhone 8 Plus" 4
"79" "http://wwatana.be/mobile/topsites/www.google.com/ null" 1
"80" "http://wwatana.be/mobile/topsites/www.linkedin.com/ iOS 11.0 - Safari -- iOS - iPhoneSE" 9
"81" "http://wwatana.be/mobile/topsites/www.linkedin.com/ iOS 11.2 - Safari -- iOS - iPhone 8 Plus" 8
"82" "http://wwatana.be/mobile/topsites/www.live.com/ iOS 11.0 - Safari -- iOS - iPhoneSE" 1
"83" "http://wwatana.be/mobile/topsites/www.live.com/ iOS 11.2 - Safari -- iOS - iPhone 8 Plus" 2
"84" "http://wwatana.be/mobile/topsites/www.msn.com iOS 11.0 - Safari -- iOS - iPhoneSE" 241
"85" "http://wwatana.be/mobile/topsites/www.msn.com iOS 11.2 - Safari -- iOS - iPhone 8 Plus" 241
"86" "http://wwatana.be/mobile/topsites/www.msn.com null" 2
"87" "http://wwatana.be/mobile/topsites/www.netflix.com/ iOS 11.0 - Safari -- iOS - iPhoneSE" 12
"88" "http://wwatana.be/mobile/topsites/www.netflix.com/ iOS 11.2 - Safari -- iOS - iPhone 8 Plus" 14
"89" "http://wwatana.be/mobile/topsites/www.wikipedia.org/ iOS 11.0 - Safari -- iOS - iPhoneSE" 16
"90" "http://wwatana.be/mobile/topsites/www.wikipedia.org/ iOS 11.2 - Safari -- iOS - iPhone 8 Plus" 13
"91" "http://wwatana.be/mobile/topsites/www.yandex.ru/ iOS 11.0 - Safari -- iOS - iPhoneSE" 44
"92" "http://wwatana.be/mobile/topsites/www.yandex.ru/ iOS 11.2 - Safari -- iOS - iPhone 8 Plus" 33
