% %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%
% 23 websites
% only websites which implemented the correct viewport
% - 1916 elements filtering elements out of viewport?
% - analysing the image comparison only on leaf nodes
% - 392 mapped incompatibilities (192 in iPhone 8 Plus and 200 in iPhoneSE)
%
% Websites:
%  - http://wwatana.be/mobile/mobile/201801/1/, with 38 elements and 8 depth DOM tree
%  - http://wwatana.be/mobile/mobile/201801/2/, with 26 elements and 8 depth DOM tree
%  - http://wwatana.be/mobile/mobile/201801/3/, with 45 elements and 9 depth DOM tree
%  - http://wwatana.be/mobile/mobile/201801/4/, with 49 elements and 8 depth DOM tree
%  - http://wwatana.be/mobile/mobile/201801/5/, with 38 elements and 9 depth DOM tree
%  - http://wwatana.be/mobile/mobile/201801/6/, with 33 elements and 8 depth DOM tree
%  - http://wwatana.be/mobile/mobile/201801/9/, with 38 elements and 8 depth DOM tree
%  - http://wwatana.be/mobile/mobile/201801/11/, with 56 elements and 10 depth DOM tree
%  - http://wwatana.be/mobile/mobile/201801/12/, with 41 elements and 11 depth DOM tree
%  - http://wwatana.be/mobile/mobile/201602/01/1.html, with 95 elements and 11 depth DOM tree
%  - http://wwatana.be/mobile/mobile/201602/04/1.html, with 111 elements and 9 depth DOM tree
%  - http://wwatana.be/mobile/mobile/201602/09/1.html, with 54 elements and 8 depth DOM tree
%  - http://wwatana.be/mobile/mobile/201602/13/1.html, with 91 elements and 11 depth DOM tree
%  - http://wwatana.be/mobile/mobile/201602/15/1.html, with 75 elements and 10 depth DOM tree
%  - http://wwatana.be/mobile/mobile/201602/16/1.html, with 65 elements and 8 depth DOM tree
%  - http://wwatana.be/mobile/mobile/201602/17/1.html, with 85 elements and 10 depth DOM tree
%  - http://wwatana.be/mobile/mobile/201701/01/1.html, with 228 elements and 12 depth DOM tree
%  - http://wwatana.be/mobile/mobile/201701/18/1.html, with 62 elements and 7 depth DOM tree
%  - http://wwatana.be/mobile/mobile/201702/01/index.html, with 55 elements and 9 depth DOM tree
%  - http://wwatana.be/mobile/mobile/201702/15/index.html, with 116 elements and 10 depth DOM tree
%  - http://wwatana.be/mobile/mobile/201802/1/, with 64 elements and 10 depth DOM tree
%  - http://wwatana.be/mobile/mobile/201802/2/, with 70 elements and 9 depth DOM tree
%  - http://wwatana.be/mobile/mobile/201802/3/, with 289 elements and 13 depth DOM tree
%
% %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
@relation R_data_frame

@attribute URL string
@attribute id numeric
@attribute tagName string
@attribute childsNumber numeric
@attribute textLength numeric
@attribute basePlatform string
@attribute targetPlatform string
@attribute baseBrowser string
@attribute targetBrowser string
@attribute baseDPI numeric
@attribute targetDPI numeric
@attribute baseScreenshot string
@attribute targetScreenshot string
@attribute baseX numeric
@attribute targetX numeric
@attribute baseY numeric
@attribute targetY numeric
@attribute baseHeight numeric
@attribute targetHeight numeric
@attribute baseWidth numeric
@attribute targetWidth numeric
@attribute baseParentX numeric
@attribute targetParentX numeric
@attribute baseParentY numeric
@attribute targetParentY numeric
@attribute imageDiff numeric
@attribute chiSquared numeric
@attribute baseDeviceWidth numeric
@attribute targetDeviceWidth numeric
@attribute baseViewportWidth numeric
@attribute targetViewportWidth numeric
@attribute xpath string
@attribute baseXpath string
@attribute targetXpath string
@attribute phash numeric
@attribute Result {0,1}

@data
http://wwatana.be/mobile/mobile/201801/3/,24,H3,1,46,"Android null - Chrome -- Android - MotoG4","iOS 11.2 - Safari -- iOS - iPhone 8 Plus",null,null,3.0,3.0,null,null,48,47,657,1006,90,90,264,318,48,47,657,1006,0.0,0.0,1080,1242,361,414,/body[2]/section[6]/div[1]/div[1]/div[1]/h3[1],/body[2]/section[6]/div[1]/div[1]/div[1]/h3[1],/body[2]/section[6]/div[1]/div[1]/div[1]/h3[1],0.0,0
http://wwatana.be/mobile/mobile/201801/3/,23,DIV,3,220,"Android null - Chrome -- Android - MotoG4","iOS 11.2 - Safari -- iOS - iPhone 8 Plus",null,null,3.0,3.0,null,null,48,47,657,1006,196,180,264,318,0,0,657,1006,0.0,0.0,1080,1242,361,414,/body[2]/section[6]/div[1]/div[1]/div[1],/body[2]/section[6]/div[1]/div[1]/div[1],/body[2]/section[6]/div[1]/div[1]/div[1],0.0,0
http://wwatana.be/mobile/mobile/201801/3/,22,DIV,12,753,"Android null - Chrome -- Android - MotoG4","iOS 11.2 - Safari -- iOS - iPhone 8 Plus",null,null,3.0,3.0,null,null,0,0,657,1006,649,601,360,414,0,0,657,1006,0.0,0.0,1080,1242,361,414,/body[2]/section[6]/div[1]/div[1],/body[2]/section[6]/div[1]/div[1],/body[2]/section[6]/div[1]/div[1],0.0,0
http://wwatana.be/mobile/mobile/201801/3/,21,DIV,13,781,"Android null - Chrome -- Android - MotoG4","iOS 11.2 - Safari -- iOS - iPhone 8 Plus",null,null,3.0,3.0,null,null,0,0,657,1006,649,601,360,414,0,0,531,880,0.0,0.0,1080,1242,361,414,/body[2]/section[6]/div[1],/body[2]/section[6]/div[1],/body[2]/section[6]/div[1],0.0,0
http://wwatana.be/mobile/mobile/201801/3/,20,SECTION,14,812,"Android null - Chrome -- Android - MotoG4","iOS 11.2 - Safari -- iOS - iPhone 8 Plus",null,null,3.0,3.0,null,null,0,0,531,880,856,808,360,414,8,8,80,80,0.0,0.0,1080,1242,361,414,/body[2]/section[6],/body[2]/section[6],/body[2]/section[6],0.0,0
http://wwatana.be/mobile/mobile/201801/3/,19,IMG,0,0,"Android null - Chrome -- Android - MotoG4","iOS 11.2 - Safari -- iOS - iPhone 8 Plus",null,null,3.0,3.0,results/motog4/19.png,results/iphone8plus/19.png,18,20,435,411,96,469,324,372,8,8,80,80,1358598.0,954666.8,1080,1242,361,414,/body[2]/img[5],/body[2]/img[5],/body[2]/img[5],0.9,1
http://wwatana.be/mobile/mobile/201801/3/,18,STRONG,0,10,"Android null - Chrome -- Android - MotoG4","iOS 11.2 - Safari -- iOS - iPhone 8 Plus",null,null,3.0,3.0,results/motog4/18.png,results/iphone8plus/18.png,138,163,403,378,19,20,82,88,27,31,389,366,162099.0,318.8,1080,1242,361,414,/body[2]/div[4]/button[2]/strong[1],/body[2]/div[4]/button[2]/strong[1],/body[2]/div[4]/button[2]/strong[1],0.6,0
http://wwatana.be/mobile/mobile/201801/3/,17,BUTTON,1,27,"Android null - Chrome -- Android - MotoG4","iOS 11.2 - Safari -- iOS - iPhone 8 Plus",null,null,3.0,3.0,null,null,27,31,389,366,45,45,306,351,8,8,328,305,0.0,0.0,1080,1242,361,414,/body[2]/div[4]/button[2],/body[2]/div[4]/button[2],/body[2]/div[4]/button[2],0.0,0
http://wwatana.be/mobile/mobile/201801/3/,16,STRONG,0,7,"Android null - Chrome -- Android - MotoG4","iOS 11.2 - Safari -- iOS - iPhone 8 Plus",null,null,3.0,3.0,results/motog4/16.png,results/iphone8plus/16.png,152,174,341,317,19,20,56,62,27,28,328,305,107313.0,303.6,1080,1242,361,414,/body[2]/div[4]/button[1]/strong[1],/body[2]/div[4]/button[1]/strong[1],/body[2]/div[4]/button[1]/strong[1],1.0,0
http://wwatana.be/mobile/mobile/201801/3/,15,BUTTON,1,24,"Android null - Chrome -- Android - MotoG4","iOS 11.2 - Safari -- iOS - iPhone 8 Plus",null,null,3.0,3.0,null,null,27,28,328,305,45,45,306,351,8,8,328,305,0.0,0.0,1080,1242,361,414,/body[2]/div[4]/button[1],/body[2]/div[4]/button[1],/body[2]/div[4]/button[1],0.0,0
