@relation R_data_frame

@attribute URL string
@attribute id numeric
@attribute tagName string
@attribute childsNumber numeric
@attribute textLength numeric
@attribute basePlatform string
@attribute targetPlatform string
@attribute baseBrowser string
@attribute targetBrowser string
@attribute baseDPI numeric
@attribute targetDPI numeric
@attribute baseScreenshot string
@attribute targetScreenshot string
@attribute baseX numeric
@attribute targetX numeric
@attribute baseY numeric
@attribute targetY numeric
@attribute baseHeight numeric
@attribute targetHeight numeric
@attribute baseWidth numeric
@attribute targetWidth numeric
@attribute baseParentX numeric
@attribute targetParentX numeric
@attribute baseParentY numeric
@attribute targetParentY numeric
@attribute imageDiff numeric
@attribute chiSquared numeric
@attribute baseDeviceWidth numeric
@attribute targetDeviceWidth numeric
@attribute baseViewportWidth numeric
@attribute targetViewportWidth numeric
@attribute xpath string
@attribute baseXpath string
@attribute targetXpath string
@attribute phash numeric
@attribute Result {0,1}
@attribute crosscheck.base.a numeric
@attribute crosscheck.target.a numeric
@attribute crosscheck.SDR numeric
@attribute crosscheck.disp numeric
@attribute crosscheck.area numeric
@attribute crosscheck.LDTD numeric
@attribute baseLeft numeric
@attribute targetLeft numeric
@attribute baseRight numeric
@attribute targetRight numeric
@attribute baseParentLeft numeric
@attribute targetParentLeft numeric
@attribute baseParentRight numeric
@attribute targetParentRight numeric
@attribute diff.viewport numeric
@attribute size numeric
@attribute diff.left.relation numeric
@attribute diff.right.relation numeric
@attribute diff.parent.left.relation numeric
@attribute diff.parent.right.relation numeric
@attribute diff.left.viewport numeric
@attribute diff.right.viewport numeric
@attribute alignment numeric
@attribute diff.parent.left.viewport numeric
@attribute diff.parent.right.viewport numeric
@attribute parent.alignment numeric
@attribute diff.parent.y numeric
@attribute diff.parent.y.height numeric
@attribute diff.height.height numeric
@attribute diff.width.viewport numeric
@attribute imageDiff.size numeric
@attribute chiSquared.size numeric
@attribute imageDiff.size.viewport numeric
@attribute chiSquared.size.viewport numeric
@attribute pHashDistance.viewport numeric
@attribute base.out.viewport.right numeric
@attribute base.out.viewport.left numeric
@attribute target.out.viewport.right numeric
@attribute target.out.viewport.left numeric
@attribute diff.out.viewport.left numeric
@attribute diff.out.viewport.right numeric
@attribute h {0,1}

@data
http://wwatana.be/mobile/mobile/201602/15/1.html,42,DIV,0,0,'Android null - Chrome -- Android - MotoG4','iOS 11.0 - Safari -- iOS - iPhoneSE',null,null,2.9,2,results/motog4/42.png,results/iphonese/42.png,290,270,1429,1487,40,40,40,40,290,270,1452,1512,6500,5316.8,1080,640,368,320,/body[2]/div[4]/div[2]/center[3]/ul[1]/li[6]/a[1]/div[1],/body[2]/div[4]/div[2]/center[3]/ul[1]/li[6]/a[1]/div[1],/body[2]/div[4]/div[2]/center[3]/ul[1]/li[6]/a[1]/div[1],0.7,1,1600,1600,0,61.351447,1600,1,290,270,38,10,290,270,38,10,-48,1600,-0.055707,0.072011,-0.055707,0.072011,-0.416667,-0.583333,0.166667,-0.416667,-0.583333,0.166667,-1.25,1.5,0,-0,4.0625,3.323,-0.084635,-0.069229,-0.014583,-78,-330,-50,-310,20,28,0
http://wwatana.be/mobile/mobile/201602/15/1.html,41,A,1,82,'Android null - Chrome -- Android - MotoG4','iOS 11.0 - Safari -- iOS - iPhoneSE',null,null,2.9,2,null,null,290,270,1452,1512,22,19,40,40,290,270,1429,1487,0,0,1080,640,368,320,/body[2]/div[4]/div[2]/center[3]/ul[1]/li[6]/a[1],/body[2]/div[4]/div[2]/center[3]/ul[1]/li[6]/a[1],/body[2]/div[4]/div[2]/center[3]/ul[1]/li[6]/a[1],0,1,880,760,0.157895,63.245553,760,1,290,270,38,10,290,270,38,10,-48,880,-0.055707,0.072011,-0.055707,0.072011,-0.416667,-0.583333,0.166667,-0.416667,-0.583333,0.166667,-1.208333,2.636364,0.136364,-0,0,0,-0,-0,-0,-78,-330,-50,-310,20,28,0
http://wwatana.be/mobile/mobile/201602/15/1.html,40,LI,2,153,'Android null - Chrome -- Android - MotoG4','iOS 11.0 - Safari -- iOS - iPhoneSE',null,null,2.9,2,null,null,290,270,1429,1487,40,40,40,40,8,8,1429,1487,0,0,1080,640,368,320,/body[2]/div[4]/div[2]/center[3]/ul[1]/li[6],/body[2]/div[4]/div[2]/center[3]/ul[1]/li[6],/body[2]/div[4]/div[2]/center[3]/ul[1]/li[6],0,1,1600,1600,0,61.351447,1600,1,290,270,38,10,8,8,320,272,-48,1600,-0.055707,0.072011,-0.003261,0.019565,-0.416667,-0.583333,0.166667,-0,-1,0.166667,-1.208333,1.45,0,-0,0,0,-0,-0,-0,-78,-330,-50,-310,20,28,0
http://wwatana.be/mobile/mobile/201801/11/,27,H2,0,13,'Android null - Chrome -- Android - MotoG4','iOS 11.2 - Safari -- iOS - iPhone 8 Plus',null,null,3,3,results/motog4/27.png,results/iphone8plus/27.png,120,110,440,440,23,23,187,193,18,20,440,440,253056,830.7,1080,1242,360,414,/body[2]/div[2]/div[1]/h2[2],/body[2]/div[2]/div[1]/h2[2],/body[2]/div[2]/div[1]/h2[2],1,0,4301,4439,0.032086,10,4301,1,120,110,53,111,18,20,155,201,54,4439,0.067633,-0.120894,0.001691,-0.054952,0.185185,1.074074,-0.888889,0.037037,0.851852,-0.888889,0,0,0,0.111111,58.83655,0.193141,1.089566,0.003577,0.018519,-240,-307,-304,-303,4,64,1
http://wwatana.be/mobile/mobile/201602/01/1.html,59,A,0,19,'Android null - Chrome -- Android - MotoG4','iOS 11.2 - Safari -- iOS - iPhone 8 Plus',null,null,2.8,3,results/motog4/59.png,results/iphone8plus/59.png,64,70,397,401,68,67,445,440,64,70,406,410,2325890,8216.5,1080,1242,380,414,/body[2]/div[3]/div[1]/div[1]/p[3]/a[1],/body[2]/div[3]/div[1]/div[1]/p[3]/a[1],/body[2]/div[3]/div[1]/div[1]/p[3]/a[1],1,1,30260,29480,0.026459,7.211103,29480,1,64,70,-129,-96,64,70,-129,-96,34,30260,-0.000661,0.10759,-0.000661,0.10759,0.176471,0.970588,-0.794118,0.176471,0.970588,-0.794118,0.117647,0.058824,0.014706,0.147059,76.863516,0.27153,2.260692,0.007986,0.029412,-316,-509,-344,-510,1,28,0
http://wwatana.be/mobile/mobile/201602/01/1.html,58,P,1,51,'Android null - Chrome -- Android - MotoG4','iOS 11.2 - Safari -- iOS - iPhone 8 Plus',null,null,2.8,3,null,null,64,70,406,410,28,28,315,315,39,45,108,113,0,0,1080,1242,380,414,/body[2]/div[3]/div[1]/div[1]/p[3],/body[2]/div[3]/div[1]/div[1]/p[3],/body[2]/div[3]/div[1]/div[1]/p[3],0,1,8820,8820,0,7.211103,8820,1,64,70,1,29,39,45,26,54,34,8820,-0.000661,-0.067417,-0.006064,-0.062014,0.176471,0.823529,-0.647059,0.176471,0.823529,-0.647059,0.147059,0.178571,0,0,0,0,0,0,0,-316,-379,-344,-385,6,28,0
http://wwatana.be/mobile/mobile/201602/01/1.html,55,DIV,4,227,'Android null - Chrome -- Android - MotoG4','iOS 11.2 - Safari -- iOS - iPhone 8 Plus',null,null,2.8,3,null,null,39,45,108,113,370,370,340,340,0,0,80,80,0,0,1080,1242,380,414,/body[2]/div[3]/div[1]/div[1],/body[2]/div[3]/div[1]/div[1],/body[2]/div[3]/div[1]/div[1],0,1,125800,125800,0,7.81025,125800,1,39,45,1,29,0,0,40,74,34,125800,-0.006064,-0.067417,0,-0.073481,0.176471,0.823529,-0.647059,0,1,-0.647059,0,0,0,0,0,0,0,0,0,-341,-379,-369,-385,6,28,0
http://wwatana.be/mobile/mobile/201602/01/1.html,52,INPUT,0,0,'Android null - Chrome -- Android - MotoG4','iOS 11.2 - Safari -- iOS - iPhone 8 Plus',null,null,2.8,3,null,null,-15878,-15884,136,134,21,21,197,135,50,50,133,132,0,0,1080,1242,380,414,/body[2]/header[2]/div[3]/form[1]/label[1]/input[1],/body[2]/header[2]/div[3]/form[1]/label[1]/input[1],/body[2]/header[2]/div[3]/form[1]/label[1]/input[1],0,0,4137,2835,0.459259,6.324555,2835,1,-15878,-15884,16061,16163,50,50,133,229,34,4137,3.417061,3.224727,0.010806,-0.20314,0.176471,3,-2.823529,0,2.823529,-2.823529,0.029412,0.047619,0,1.823529,0,0,0,0,0,-16258,15681,-16298,15749,68,40,1
http://wwatana.be/mobile/mobile/201602/01/1.html,51,LABEL,1,110,'Android null - Chrome -- Android - MotoG4','iOS 11.2 - Safari -- iOS - iPhone 8 Plus',null,null,2.8,3,null,null,50,50,133,132,24,25,197,139,50,50,133,132,0,0,1080,1242,380,414,/body[2]/header[2]/div[3]/form[1]/label[1],/body[2]/header[2]/div[3]/form[1]/label[1],/body[2]/header[2]/div[3]/form[1]/label[1],0,0,4728,3475,0.360576,1,3475,1,50,50,133,225,50,50,133,225,34,4728,0.010806,-0.193478,0.010806,-0.193478,0,2.705882,-2.705882,0,2.705882,-2.705882,0.029412,0.041667,0.041667,1.705882,0,0,0,0,0,-330,-247,-364,-189,58,34,1
http://wwatana.be/mobile/mobile/201602/01/1.html,41,LI,1,30,'Android null - Chrome -- Android - MotoG4','iOS 11.2 - Safari -- iOS - iPhone 8 Plus',null,null,2.8,3,null,null,283,268,79,78,90,87,77,92,-4,-4,96,95,0,0,1080,1242,380,414,/body[2]/header[2]/div[2]/ul[1]/li[5],/body[2]/header[2]/div[2]/ul[1]/li[5],/body[2]/header[2]/div[2]/ul[1]/li[5],0,1,6930,8004,0.154978,15.033296,6930,1,283,268,20,54,-4,-4,307,326,34,8004,0.097394,-0.077803,0.000864,0.020455,0.441176,1,-0.558824,0,0.558824,-0.558824,0.029412,0.011111,0.033333,0.441176,0,0,0,0,0,-97,-360,-146,-360,0,49,0
