@relation R_data_frame

@attribute URL string
@attribute id numeric
@attribute tagName string
@attribute childsNumber numeric
@attribute textLength numeric
@attribute basePlatform string
@attribute targetPlatform string
@attribute baseBrowser string
@attribute targetBrowser string
@attribute baseDPI numeric
@attribute targetDPI numeric
@attribute baseScreenshot string
@attribute targetScreenshot string
@attribute baseX numeric
@attribute targetX numeric
@attribute baseY numeric
@attribute targetY numeric
@attribute baseHeight numeric
@attribute targetHeight numeric
@attribute baseWidth numeric
@attribute targetWidth numeric
@attribute baseParentX numeric
@attribute targetParentX numeric
@attribute baseParentY numeric
@attribute targetParentY numeric
@attribute imageDiff numeric
@attribute chiSquared numeric
@attribute baseDeviceWidth numeric
@attribute targetDeviceWidth numeric
@attribute baseViewportWidth numeric
@attribute targetViewportWidth numeric
@attribute xpath string
@attribute baseXpath string
@attribute targetXpath string
@attribute phash numeric
@attribute Result {0,1}
@attribute crosscheck.base.a numeric
@attribute crosscheck.target.a numeric
@attribute crosscheck.SDR numeric
@attribute crosscheck.disp numeric
@attribute crosscheck.area numeric
@attribute crosscheck.LDTD numeric
@attribute baseLeft numeric
@attribute targetLeft numeric
@attribute baseRight numeric
@attribute targetRight numeric
@attribute baseParentLeft numeric
@attribute targetParentLeft numeric
@attribute baseParentRight numeric
@attribute targetParentRight numeric
@attribute diff.viewport numeric
@attribute size numeric
@attribute diff.left.relation numeric
@attribute diff.right.relation numeric
@attribute diff.parent.left.relation numeric
@attribute diff.parent.right.relation numeric
@attribute diff.left.viewport numeric
@attribute diff.right.viewport numeric
@attribute alignment numeric
@attribute diff.parent.left.viewport numeric
@attribute diff.parent.right.viewport numeric
@attribute parent.alignment numeric
@attribute diff.parent.y numeric
@attribute diff.parent.y.height numeric
@attribute diff.height.height numeric
@attribute diff.width.viewport numeric
@attribute imageDiff.size numeric
@attribute chiSquared.size numeric
@attribute imageDiff.size.viewport numeric
@attribute chiSquared.size.viewport numeric
@attribute pHashDistance.viewport numeric

@data
http://wwatana.be/mobile/mobile/201801/3/,13,P,0,78,'Android null - Chrome -- Android - MotoG4','iOS 11.0 - Safari -- iOS - iPhoneSE',null,null,3,2,results/motog4/13.png,results/iphonese/13.png,8,8,210,260,75,78,344,304,8,8,80,80,1736530,15655.3,1080,640,361,320,/body[2]/p[3],/body[2]/p[3],/body[2]/p[3],0.6,1,25800,23712,0.088057,50,23712,1,8,8,9,8,8,8,9,8,-41,25800,-0.002839,-0.000069,-0.002839,-0.000069,-0,-0.02439,0.02439,-0,-0.02439,0.02439,-0,0,0.04,-0.97561,67.307364,0.606795,-1.641643,-0.0148,-0.014634
http://wwatana.be/mobile/mobile/201801/3/,12,H2,0,29,'Android null - Chrome -- Android - MotoG4','iOS 11.0 - Safari -- iOS - iPhoneSE',null,null,3,2,results/motog4/12.png,results/iphonese/12.png,8,8,80,80,100,150,344,304,8,8,80,80,4570381,18640.8,1080,640,361,320,/body[2]/h2[2],/body[2]/h2[2],/body[2]/h2[2],0.8,1,34400,45600,0.325581,0,34400,1,8,8,9,8,8,8,9,8,-41,45600,-0.002839,-0.000069,-0.002839,-0.000069,-0,-0.02439,0.02439,-0,-0.02439,0.02439,-0,0,0.5,-0.97561,132.859913,0.541884,-3.240486,-0.013217,-0.019512
http://wwatana.be/mobile/mobile/201801/12/,15,DIV,0,93,'Android null - Chrome -- Android - MotoG4','iOS 11.2 - Safari -- iOS - iPhone 8 Plus',null,null,3,3,results/motog4/15.png,results/iphone8plus/15.png,42,47,629,578,51,30,275,318,8,8,551,503,1087077,3914.9,1080,1242,360,414,/body[2]/div[1]/div[2]/div[1]/div[3],/body[2]/div[1]/div[2]/div[1]/div[3],/body[2]/div[1]/div[2]/div[1]/div[3],0.9,1,14025,9540,0.470126,51.244512,9540,1,42,47,43,49,8,8,77,88,54,14025,0.00314,0.001087,0.002899,0.001329,0.092593,0.111111,-0.018519,0,0.203704,-0.018519,0.888889,0.941176,0.411765,0.796296,77.509947,0.279137,1.435369,0.005169,0.016667
http://wwatana.be/mobile/mobile/201801/12/,10,INPUT,0,0,'Android null - Chrome -- Android - MotoG4','iOS 11.2 - Safari -- iOS - iPhone 8 Plus',null,null,3,3,results/motog4/10.png,results/iphone8plus/10.png,68,77,381,353,40,20,223,258,68,77,381,353,1103820,253851.5,1080,1242,360,414,/body[2]/div[1]/div[1]/div[2]/div[2]/div[3]/input[1],/body[2]/div[1]/div[1]/div[2]/div[2]/div[3]/input[1],/body[2]/div[1]/div[1]/div[2]/div[2]/div[3]/input[1],0.4,1,8920,5160,0.728682,29.410882,5160,1,68,77,69,79,68,77,69,79,54,8920,0.002899,0.000845,0.002899,0.000845,0.166667,0.185185,-0.018519,0.166667,0.185185,-0.018519,0.518519,0.7,0.5,0.648148,123.746637,28.458688,2.291604,0.527013,0.007407
http://wwatana.be/mobile/mobile/201801/12/,8,LABEL,0,110,'Android null - Chrome -- Android - MotoG4','iOS 11.2 - Safari -- iOS - iPhone 8 Plus',null,null,3,3,results/motog4/8.png,results/iphone8plus/8.png,78,83,293,288,68,44,202,247,68,77,208,208,1443759,2945.4,1080,1242,360,414,/body[2]/div[1]/div[1]/div[2]/div[2]/label[2],/body[2]/div[1]/div[1]/div[2]/div[2]/label[2],/body[2]/div[1]/div[1]/div[2]/div[2]/label[2],0.9,1,13736,10868,0.263894,7.071068,10868,1,78,83,80,84,68,77,90,90,54,13736,0.016184,0.019324,0.002899,0.032609,0.092593,0.074074,0.018519,0.166667,0,0.018519,0,0,0.352941,0.833333,105.107673,0.214429,1.946438,0.003971,0.016667
http://wwatana.be/mobile/mobile/201801/12/,15,DIV,0,93,'Android null - Chrome -- Android - MotoG4','iOS 11.0 - Safari -- iOS - iPhoneSE',null,null,3,2,results/motog4/15.png,results/iphonese/15.png,42,38,629,578,51,30,275,243,8,8,551,503,1307508,12965.1,1080,640,360,320,/body[2]/div[1]/div[2]/div[1]/div[3],/body[2]/div[1]/div[2]/div[1]/div[3],/body[2]/div[1]/div[2]/div[1]/div[3],0.9,1,14025,7290,0.923868,51.156622,7290,1,42,38,43,39,8,8,77,69,-40,14025,-0.002083,-0.002431,-0.002778,-0.001736,-0.1,-0.1,0,-0,-0.2,0,-1.2,0.941176,0.411765,-0.8,93.226952,0.924428,-2.330674,-0.023111,-0.0225
http://wwatana.be/mobile/mobile/201801/12/,10,INPUT,0,0,'Android null - Chrome -- Android - MotoG4','iOS 11.0 - Safari -- iOS - iPhoneSE',null,null,3,2,results/motog4/10.png,results/iphonese/10.png,68,61,381,353,40,20,223,197,68,61,381,353,1129020,192905.6,1080,640,360,320,/body[2]/div[1]/div[1]/div[2]/div[2]/div[3]/input[1],/body[2]/div[1]/div[1]/div[2]/div[2]/div[3]/input[1],/body[2]/div[1]/div[1]/div[2]/div[2]/div[3]/input[1],0.5,1,8920,3940,1.263959,28.861739,3940,1,68,61,69,62,68,61,69,62,-40,8920,-0.001736,-0.002083,-0.001736,-0.002083,-0.175,-0.175,0,-0.175,-0.175,0,-0.7,0.7,0.5,-0.65,126.571749,21.626188,-3.164294,-0.540655,-0.0125
http://wwatana.be/mobile/mobile/201801/12/,8,LABEL,0,110,'Android null - Chrome -- Android - MotoG4','iOS 11.0 - Safari -- iOS - iPhoneSE',null,null,3,2,results/motog4/8.png,results/iphonese/8.png,78,63,293,288,68,44,202,195,68,61,208,208,1566408,12593.5,1080,640,360,320,/body[2]/div[1]/div[1]/div[2]/div[2]/label[2],/body[2]/div[1]/div[1]/div[2]/div[2]/label[2],/body[2]/div[1]/div[1]/div[2]/div[2]/label[2],0.9,1,13736,8580,0.600932,15.811388,8580,1,78,63,80,62,68,61,90,64,-40,13736,0.019792,0.028472,-0.001736,0.05,-0.375,-0.45,0.075,-0.175,-0.65,0.075,-0,0,0.352941,-0.175,114.036692,0.916824,-2.850917,-0.022921,-0.0225
http://wwatana.be/mobile/mobile/201802/3/,205,SPAN,0,57,'Android null - Chrome -- Android - MotoG4','iOS 11.2 - Safari -- iOS - iPhone 8 Plus',null,null,3,3,results/motog4/205.png,results/iphone8plus/205.png,24,26,843,913,40,44,315,338,19,21,813,883,1246489,2109.4,1080,1242,360,414,/body[2]/div[2]/div[2]/div[1]/div[3]/div[2]/div[1]/div[2]/span[1],/body[2]/div[2]/div[2]/div[1]/div[3]/div[2]/div[1]/div[2]/span[1],/body[2]/div[2]/div[2]/div[1]/div[3]/div[2]/div[1]/div[2]/span[1],1,1,12600,14872,0.180317,70.028566,12600,1,24,26,21,50,19,21,26,55,54,14872,0.003865,-0.06244,0.002053,-0.060628,0.037037,0.537037,-0.5,0.037037,0.537037,-0.5,1.296296,1.75,0.1,0.425926,98.927698,0.167413,1.831994,0.0031,0.018519
http://wwatana.be/mobile/mobile/201802/3/,169,SPAN,0,57,'Android null - Chrome -- Android - MotoG4','iOS 11.2 - Safari -- iOS - iPhone 8 Plus',null,null,3,3,results/motog4/169.png,results/iphone8plus/169.png,24,26,489,524,40,44,315,338,19,21,459,494,1529159,10193.8,1080,1242,360,414,/body[2]/div[2]/div[2]/div[1]/div[2]/div[2]/div[1]/div[2]/span[1],/body[2]/div[2]/div[2]/div[1]/div[2]/div[2]/div[1]/div[2]/span[1],/body[2]/div[2]/div[2]/div[1]/div[2]/div[2]/div[1]/div[2]/span[1],0.5,1,12600,14872,0.180317,35.057096,12600,1,24,26,21,50,19,21,26,55,54,14872,0.003865,-0.06244,0.002053,-0.060628,0.037037,0.537037,-0.5,0.037037,0.537037,-0.5,0.648148,0.875,0.1,0.425926,121.361825,0.809032,2.247441,0.014982,0.009259
